local/bdf-tewi-git 0.298.ff08c62-1
local/dropbox-cli 2015.10.28-1
local/envypn-font 1.7.1-3
local/flattastic-theme 20140311-1
local/i3-gaps 4.13-2 (i3)
local/lemonbar-git v1.2.r4.g50fe7d2-1
local/monaco-powerline-font-git r16.616d338-3
local/ncmpcpp-git 1:2067.30830e3-1
local/neofetch 2.0.2-1
local/pepper-flash 23.0.0.207-1
local/phallus-fonts-git 156.46f2957-1
local/pulseaudio-ctl 1.63-1
local/siji-git r21.95369af-1
local/termsyn-font 1.8.7-1
local/txtw-git 13-1
local/uw-ttyp0-font 1.3-4
local/yltra-flat-icons-git 2.6-4
