acpi 1.7-1
adobe-source-han-sans-cn-fonts 1.004-1
alsa-utils 1.1.2-1
artwiz-fonts 1.3-8
autoconf 2.69-4
automake 1.15-2
bison 3.0.4-2
dina-font 2.92-5
dunst 1.1.0-1
fakeroot 1.21-2
firefox 50.1.0-1
flex 2.6.1-1
gimp 2.8.18-3
gnu-netcat 0.7.1-6
grub 1:2.02.beta3-4
gvim 8.0.0086-1
iputils 20161105.1f2bb12-1
jfsutils 1.1.15-4
licenses 20140629-1
linux 4.8.13-1
logrotate 3.10.0-1
lvm2 2.02.168-1
lxappearance-obconf 0.2.3-1
make 4.2.1-1
man-db 2.7.5-4
man-pages 4.08-1
mdadm 3.4-1
mpd 0.19.21-1
mpv 1:0.22.0-2
nano 2.7.1-1
netctl 1.12-2
nmap 7.31-1
obconf 2.0.4-4
openssh 7.3p1-2
pandoc 1.18-10
pass 1.6.5-2
patch 2.7.5-1
pavucontrol 3.0-4
pcmciautils 018-7
pkg-config 0.29.1-2
procps-ng 3.3.12-1
python-virtualenv 15.0.3-1
reiserfsprogs 3.6.25-1
sassc 3.3.6-1
stow 2.2.2-2
texlive-bibtexextra 2016.42278-1
texlive-fontsextra 2016.42286-1
texlive-formatsextra 2016.41438-3
texlive-games 2016.39318-2
texlive-htmlxml 2016.41841-1
texlive-humanities 2016.42509-1
texlive-music 2016.41913-1
texlive-plainextra 2016.42258-1
texlive-pstricks 2016.42276-1
texlive-publishers 2016.42522-1
texlive-science 2016.42453-1
tmux 2.3-1
udiskie 1.5.1-1
unrar 1:5.4.5-1
unzip 6.0-12
usbutils 008-1
vi 1:070224-2
weechat 1.6-2
wget 1.18-2
which 2.21-2
xdo 0.5.3-1
xf86-video-intel 1:2.99.917+746+g169c74f-1
xfsprogs 4.8.0-1
xorg-server 1.18.4-1
xorg-server-utils 7.6-4
xorg-xinit 1.3.4-4
xorg-xlsfonts 1.0.5-1
yaourt 1.8.1-1
zip 3.0-7
